"Year","State","Type","Production","Avg","Measures","Materials","Chemical","Value"
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",1.445
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE",0.094
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE",1.759
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110008)","INSECTICIDE",0.027
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM-L = 110009)","INSECTICIDE",0.027
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.026
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)",41
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)",17
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)",34
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE",0.222
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.332
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE",9.875
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYMOXANIL = 129106)","FUNGICIDE",0.154
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.294
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FAMOXADONE = 113202)","FUNGICIDE",0.154
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.196
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE",0.06
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.169
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",0.021
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DIURON = 35505)","HERBICIDE",0.943
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE",0.291
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",0.75
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE",0.468
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE",0.103
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE",0.108
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE",1.192
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.026
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)",30
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)",43
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)",42
